id,download_count,gutenberg_id,media_type,title
604,8,603,Text,Letters of George Borrow to the British and Foreign Bible Society
605,139,604,Text,Gulliver of Mars
606,190,605,Text,Pellucidar
607,24,606,Text,Indian Why Stories: Sparks from War Eagle's Lodge-Fire
608,46,607,Text,Die Augsburger Confession
610,15,609,Text,"America, Through the Spectacles of an Oriental Diplomat"
611,551,610,Text,Idylls of the King
612,201,611,Text,Prester John
613,34,612,Text,"The Constitution of Japan, 1946"
614,14,613,Text,"The Constitution of the Empire of Japan, 1889"
615,46,614,Text,"Across the Plains, with Other Memories and Essays"
616,230,615,Text,Orlando Furioso
617,12,616,Text,"Prayers Written At Vailima, and A Lowden Sabbath Morn"
618,20,617,Text,Poems
619,72,618,Text,Codex Junius 11
620,222,619,Text,The Warden
621,143,620,Text,Sylvie and Bruno
622,822,621,Text,The Varieties of Religious Experience: A Study in Human Nature
